LIGAND_ENTRY,BE_PANTS,dG [kcal/mol]
A1528,-100.365,-11.02242109
A1914,-93.2197,-11.01215728
A1750,-95.5245,-10.95216264
A1886,-95.7731,-10.88831086
A1472,-93.0525,-10.87944706
A1414,-92.1417,-10.65904066
A2114,-98.578,-10.60394435
A621,-93.3631,-10.58773642
A1904,-94.8142,-10.55832484
A982,-92.5269,-10.51939361
A1260,-102.795,-10.4896484
A1812,-94.7365,-10.4798431
A1491,-95.5719,-10.47946597
A1608,-101.668,-10.47297551
A2121,-97.0032,-10.45186742
A974,-90.6678,-10.43728491
A2115,-102.166,-10.40954151
A1507,-94.9526,-10.4080533
A1908,-93.4454,-10.33536394
A1338,-91.4053,-10.26713737
A1877,-98.0969,-10.26397389
A947,-96.3686,-10.25771592
A1451,-97.894,-10.23291143
A1626,-97.5916,-10.21061335
A2082,-96.1995,-10.20013775
A1592,-95.0549,-10.1862695
A1827,-95.1248,-10.17539221
A1395,-95.8195,-10.1608863
A1893,-96.3976,-10.1588878
A1697,-93.0353,-10.14531714
A2039,-98.3278,-10.13954426
A1876,-98.282,-10.13913521
A942,-95.6779,-10.11802095
A1010,-90.5333,-10.11535472
A661,-99.3506,-10.10939929
A1011,-96.5849,-10.07652031
A1144,-93.56,-10.05897149
A813,-94.0731,-10.03313244
A1990,-100.654,-10.03101052
A2160,-94.962,-10.02791142
A1809,-103.584,-10.01027027
A1821,-97.0929,-9.998332388
A1372,-99.5493,-9.991083251
A1271,-92.487,-9.922324133
A1261,-92.3242,-9.889477893
A1517,-95.0342,-9.881349329
A822,-92.2264,-9.841355937
A1789,-94.9322,-9.815008981
A1640,-97.4491,-9.793228371
A2058,-97.3776,-9.751545647
A1968,-93.1101,-9.721336586
A2013,-92.094,-9.708639652
A1882,-96.8088,-9.687607792
A1447,-103.238,-9.654551881
A1995,-97.4968,-9.634108114
A526,-93.3633,-9.633652353
A2100,-98.3624,-9.620580769
A1887,-90.7318,-9.619952764
A1982,-97.6827,-9.611367059
A1793,-95.1897,-9.594673388
A1656,-92.9764,-9.568507964
A1720,-95.4241,-9.56031052
A958,-90.3396,-9.559973758
A1054,-94.8967,-9.548525384
A1547,-90.9002,-9.532687875
A408,-93.1702,-9.528380861
A817,-93.1653,-9.512801395
A2163,-102.682,-9.512701985
A1932,-91.3453,-9.509906908
A856,-91.5443,-9.506340643
A1412,-95.6138,-9.477620898
A1870,-108.46,-9.476140778
A1765,-98.8573,-9.473208679
A1696,-94.5467,-9.443549456
A1687,-104.006,-9.434916391
A593,-97.1886,-9.424370895
A1533,-90.7115,-9.421830368
A888,-97.6931,-9.419402126
A1399,-95.3826,-9.416155611
A1594,-98.3584,-9.413414792
A1856,-100.925,-9.405322368
A2186,-90.8807,-9.397050619
A1560,-95.0522,-9.392766963
A1777,-95.0396,-9.373963421
A1817,-95.4967,-9.354551462
A2203,-99.0659,-9.329964188
A1622,-90.9767,-9.326839706
A821,-97.6836,-9.323539209
A2178,-95.1926,-9.313985702
A2042,-91.2162,-9.301417882
A1965,-98.6743,-9.295668544
A2094,-103.711,-9.289270602
A1948,-91.8959,-9.280020475
A710,-90.2874,-9.279380792
A2183,-93.2582,-9.275104492
A1553,-96.5922,-9.262641048
