Id,,dG [kcal/mol] mean
A1916_out_frst.sdf,,-11.46067121
A1927_out_frst.sdf,,-8.915821215
A1928_out_frst.sdf,,-10.13741599
A1931_out_frst.sdf,,-8.618981511
A1932_out_frst.sdf,,-9.509906908
A1934_out_frst.sdf,,-9.424627376
A1943_out_frst.sdf,,-7.444253509
A1944_out_frst.sdf,,-8.683173272
A1945_out_frst.sdf,,-8.772466738
A1947_out_frst.sdf,,-8.748197099
A1948_out_frst.sdf,,-9.280020475
A1949_out_frst.sdf,,-9.699325061
A1952_out_frst.sdf,,-9.096196798
A1953_out_frst.sdf,,-10.98856162
A1954_out_frst.sdf,,-8.953618016
A1962_out_frst.sdf,,-7.811399582
A1965_out_frst.sdf,,-9.295668544
A1968_out_frst.sdf,,-9.721336586
A1971_out_frst.sdf,,-7.490406663
A1972_out_frst.sdf,,-9.10235095
A1980_out_frst.sdf,,-8.964939574
A1982_out_frst.sdf,,-9.611367059
A1985_out_frst.sdf,,-8.262689281
A1990_out_frst.sdf,,-10.03101052
A1995_out_frst.sdf,,-9.634108114
A1996_out_frst.sdf,,-8.947434619
A1999_out_frst.sdf,,-8.218432556
A2000_out_frst.sdf,,-9.28367015
A2001_out_frst.sdf,,-9.239393101
A2003_out_frst.sdf,,-9.206893097
A2008_out_frst.sdf,,-7.080278267
A2013_out_frst.sdf,,-9.708639652
A2017_out_frst.sdf,,-8.500470696
A2018_out_frst.sdf,,-9.714983429
A2031_out_frst.sdf,,-8.696244396
A2036_out_frst.sdf,,-7.875465172
A2039_out_frst.sdf,,-10.13954426
A2042_out_frst.sdf,,-9.301417882
A2044_out_frst.sdf,,-8.690325482
A2048_out_frst.sdf,,-8.260587226
A2052_out_frst.sdf,,-10.18229254
A2058_out_frst.sdf,,-9.751545647
A2060_out_frst.sdf,,-8.860678094
A2075_out_frst.sdf,,-9.405333587
A2078_out_frst.sdf,,-9.03217489
A2082_out_frst.sdf,,-10.20013775
A2083_out_frst.sdf,,-8.946179254
A2084_out_frst.sdf,,-6.946119016
A2085_out_frst.sdf,,-8.500234723
A2086_out_frst.sdf,,-7.251699747
A2087_out_frst.sdf,,-8.295117831
A2091_out_frst.sdf,,-8.136199614
A2093_out_frst.sdf,,-8.435828141
A2094_out_frst.sdf,,-9.289270602
A2097_out_frst.sdf,,-7.111304866
A2099_out_frst.sdf,,-9.251030915
A2100_out_frst.sdf,,-9.620580769
A2102_out_frst.sdf,,-9.060501409
A2109_out_frst.sdf,,-8.681368528
A2110_out_frst.sdf,,-8.397849441
A2114_out_frst.sdf,,-10.60394435
A2115_out_frst.sdf,,-10.40954151
A2120_out_frst.sdf,,-8.885018727
A2121_out_frst.sdf,,-10.45186742
A2126_out_frst.sdf,,-9.175095585
A2127_out_frst.sdf,,-8.72672364
A2130_out_frst.sdf,,-10.27850298
A2133_out_frst.sdf,,-8.786500055
A2137_out_frst.sdf,,-9.489609545
A2138_out_frst.sdf,,-6.953241476
A2141_out_frst.sdf,,-8.490250192
A2144_out_frst.sdf,,-9.214722787
A2148_out_frst.sdf,,-8.455052866
A2151_out_frst.sdf,,-9.178987394
A2152_out_frst.sdf,,-9.398899228
A2153_out_frst.sdf,,-8.812921776
A2158_out_frst.sdf,,-8.364684463
A2159_out_frst.sdf,,-8.901195758
A2160_out_frst.sdf,,-10.02791142
A2162_out_frst.sdf,,-9.244273496
A2163_out_frst.sdf,,-9.512701985
A2170_out_frst.sdf,,-7.781877565
A2172_out_frst.sdf,,-7.846295091
A2173_out_frst.sdf,,-8.926546587
A2176_out_frst.sdf,,-8.444998629
A2178_out_frst.sdf,,-9.313985702
A2181_out_frst.sdf,,-8.663259203
A2183_out_frst.sdf,,-9.275104492
A2185_out_frst.sdf,,-9.003955139
A2186_out_frst.sdf,,-9.397050619
A2190_out_frst.sdf,,-8.906549845
A2191_out_frst.sdf,,-8.581670635
A2194_out_frst.sdf,,-8.78216205
A2196_out_frst.sdf,,-8.202166782
A2203_out_frst.sdf,,-9.329964188
A2204_out_frst.sdf,,-8.916697976
A2208_out_frst.sdf,,-8.514955177
A2209_out_frst.sdf,,-7.554430502
A2212_out_frst.sdf,,-7.926099791
cocr_d_out_frst.sdf,,-6.282637647
A1608_out_frst.sdf,,-10.47297551
A1609_out_frst.sdf,,-6.965687953
A1612_out_frst.sdf,,-8.535040018
A1616_out_frst.sdf,,-7.411433387
A1620_out_frst.sdf,,-8.945435102
A1622_out_frst.sdf,,-9.326839706
A1624_out_frst.sdf,,-8.281511675
A1626_out_frst.sdf,,-10.21061335
A1630_out_frst.sdf,,-8.878246961
A1634_out_frst.sdf,,-10.1799089
A1635_out_frst.sdf,,-9.118914955
A1639_out_frst.sdf,,-7.482432594
A1640_out_frst.sdf,,-9.793228371
A1643_out_frst.sdf,,-9.130457313
A1644_out_frst.sdf,,-7.226501666
A1648_out_frst.sdf,,-6.808096187
A1652_out_frst.sdf,,-8.393273439
A1653_out_frst.sdf,,-7.902852028
A1656_out_frst.sdf,,-9.568507964
A1662_out_frst.sdf,,-8.156831442
A1669_out_frst.sdf,,-8.874754633
A1675_out_frst.sdf,,-7.280687101
A1679_out_frst.sdf,,-10.32596088
A1682_out_frst.sdf,,-8.051123776
A1687_out_frst.sdf,,-9.434916391
A1691_out_frst.sdf,,-9.108977784
A1696_out_frst.sdf,,-9.443549456
A1697_out_frst.sdf,,-10.14531714
A1703_out_frst.sdf,,-8.419475096
A1705_out_frst.sdf,,-8.885246607
A1707_out_frst.sdf,,-8.628121836
A1709_out_frst.sdf,,-8.411658924
